sepalLength	sepalWidth	petalLength	petalWidth	species
4	6.0	91360	552796	10
3	8.0	36611	304047	10
4	5.0	284072	1511621	10
3	10.0	100838	960831	10
4	7.0	456155	3392915	10
4	1.0	64822	41147	10
3	10.0	10703	110007	10
2	5.0	7682	36828	10
4	6.0	262016	1445678	4
3	8.0	19397	160461	4
4	7.0	102168	665819	4
5	5.0	157252	864062	4
2	7.0	37248	273612	4
3	6.0	103526	629604	4
5	4.0	117907	447183	4
4	4.0	196575	726948	4
4	5.0	85784	390192	7
4	3.0	251194	846362	7
4	4.0	86190	312938	7
4	5.0	62383	321956	7
4	5.0	347697	1811282	7
3	8.0	34293	291417	7
5	5.0	101408	537681	7
3	6.0	47899	298746	7
4	6.0	57353	337012	7
4	6.0	153323	860201	7
3	5.0	69045	367432	9
4	4.0	288634	1156718	9
4	5.0	482997	2404366	9
4	6.0	349032	1993666	9
2	6.0	44757	272013	9
3	6.0	34483	211057	9
4	9.0	2941	25466	9
2	7.0	18925	136831	9
4	4.0	6987	31397	9
3	9.0	6057	56081	9
3	2.0	16314	34676	9
4	8.0	1640	13540	9
4	8.0	3886	32075	9
1	18.0	13187	230905	9
2	18.0	14752	258326	9
4	5.0	758388	4000924	9
4	7.0	160549	1096203	9
4	5.0	435519	2394658	9
4	5.0	120308	577296	9
4	6.0	291036	1816636	9
3	8.0	312374	2354893	9
5	6.0	45771	289778	9
4	4.0	1052518	4506768	9
4	5.0	326958	1603698	9
4	7.0	1244602	8509658	9
4	7.0	625715	4111443	9
3	6.0	515903	2940561	9
4	11.0	12811	144603	9
3	6.0	22757	146886	9
4	6.0	205378	1259135	9
3	9.0	70541	647773	9
3	6.0	205939	1219628	9
4	4.0	227838	1012664	9
4	6.0	231455	1466865	9
4	15.0	40006	607256	9
3	10.0	52587	542248	9
4	6.0	235346	1484162	9
3	10.0	2967	30594	9
4	6.0	900803	5641014	9
4	5.0	749854	3451498	9
3	11.0	144257	1600453	9
5	6.0	506215	3062584	9
3	10.0	2173	22408	9
4	7.0	523208	3757218	9
5	8.0	392508	2966937	9
2	5.0	90848	425770	9
4	14.0	56757	769227	9
3	14.0	82003	1111400	9
3	14.0	13410	181748	9
2	15.0	4410	67710	9
4	14.0	21223	298555	9
4	8.0	9265	73994	9
4	9.0	8376	72336	9
4	9.0	8439	75220	9
4	9.0	22654	195442	9
3	8.0	44117	335573	9
3	8.0	89558	692759	9
2	10.0	1876	18429	9
3	9.0	5167	44320	9
3	9.0	11457	101328	9
3	4.0	147457	542525	9
3	9.0	2978	25654	9
5	9.0	10928	97013	9
4	7.0	146682	1087983	9
3	3.0	247309	845111	8
4	6.0	234998	1301095	8
4	7.0	36907	240784	8
4	4.0	623294	2414298	8
4	6.0	76658	461635	8
4	5.0	188807	910417	8
4	5.0	369568	1791103	8
4	7.0	252710	1849136	8
4	3.0	5407	18417	8
2	3.0	389299	1282367	8
4	2.0	360806	742595	8
4	3.0	490923	1614830	8
3	4.0	9382	36704	8
4	3.0	75917	235726	8
3	3.0	21317	57927	8
3	3.0	124043	423516	8
4	3.0	10981	28971	8
3	2.0	373385	591248	8
3	3.0	354441	1028668	8
3	4.0	85672	361506	8
4	3.0	673643	1722117	8
4	5.0	27749	129227	8
5	3.0	33625	98699	8
4	4.0	342722	1414955	8
4	4.0	33805	119092	8
4	3.0	5220	14285	8
4	2.0	54000	111095	8
4	2.0	163206	262069	8
4	5.0	15180	81596	8
4	5.0	157931	716260	1
4	5.0	116756	631255	1
3			1689482	1
4	6.0	116391	746935	1
4	6.0	5570	31275	1
4	6.0	129553	802236	1
4	0.0	516281	4404	11
3	0.0	2248121	28574	11
4	77.0	62522	4834134	11
4	71.0	55080	3924571	11
3	1.0	163865	130602	11
4	1.0	25883	33513	11
4	2.0	109743	167569	11
4	104.0	70433	7294592	11
4	0.0	124470	17530	11
4	0.0	1025307	136044	11
4	1.0	14245	18996	11
2	66.0	46681	3098892	11
4	100.0	73543	7329168	11
5	230.0	11615	2668471	11
3			5821907	11
3	2.0	11371	24176	11
4	43.0	52615	2245453	11
2	55.0	104914	5777586	11
4	212.0	54193	11471945	11
4	0.0	202246	7089	11
4	2.0	24522	56512	11
4	137.0	4689	644079	11
4	0.0	673924	109278	11
3	70.0	84738	5913357	11
4	116.0	33821	3920324	11
4	55.0	47703	2623221	11
3	0.0	187426	62611	11
2	2.0	111289	187997	11
3	0.0	1445096	217994	11
4	121.0	19845	2410558	11
3	252.0	34669	8729760	11
4	0.0	76797	8732	11
3	0.0	1453461	143213	11
4	153.0	434	66499	11
4	103.0	475	49025	11
3	85.0	553	47185	11
4	77.0	332	25580	11
2	52.0	509	26473	11
5	65.0	390	25493	11
4	11.0	102000	1147220	11
3	9.0	782	6882	11
5	105.0	5016	526162	11
3	7.0	2035880	15193757	11
4	95.0	31653	3017855	11
3	115.0	15232	1755614	11
4	103.0	39982	4099987	11
3	81.0	43667	3540379	11
3	80.0	40354	3228825	11
3	42.0	19853	837163	11
4			417010	11
5			190555	11
3			418802	11
4	132.0	30165	3979505	11
4			8358	11
2	19.0	8759	162393	11
3	2.0	3104	7218	11
4	5.0	3150	15767	11
2	22.0	1518	33905	11
3	4.0	5820	25585	11
3	12.0	3223	40274	11
3	17.0	12837	222704	11
2	2.0	2448	5238	11
2	1.0	5431	2963	11
2	11.0	1269	13868	11
4	4.0	180104	806867	3
4	6.0	143710	809975	4
4	5.0	145505	761602	4
4	5.0	482139	2444927	4
4	6.0	362364	2128620	4
4	6.0	401627	2469569	4
4	7.0	52248	348909	4
4	5.0	318503	1561657	4
2	7.0	123400	915305	4
5	7.0	59872	390033	4
4	7.0	40296	294788	4
4	8.0	57374	469280	4
4	5.0	99076	494266	4
1	10.0	73248	743597	4
4	5.0	299941	1586027	4
4	7.0	175999	1148853	4
3	6.0	168923	950218	4
1	5.0	76711	398484	4
4	5.0	336592	1655933	4
4	5.0	173676	883824	4
3	5.0	387628	1936012	4
4	6.0	62045	399137	4
1	6.0	53390	321669	4
4	6.0	110482	619856	4
4	8.0	23891	193265	4
4	6.0	48113	303658	4
1	6.0	77311	431637	4
3	5.0	23613	126492	4
3	5.0	181600	922576	4
4	6.0	110742	623222	4
2	5.0	17142	84951	4
4	5.0	803866	3872947	4
3	5.0	57632	275387	4
4	6.0	91134	541869	4
4	4.0	1037222	4546093	4
2	6.0	80088	468405	4
4	11.0	5482	62152	4
4	9.0	35134	330910	9
4	9.0	696210	6397440	9
5	7.0	68391	477104	6
4	7.0	73142	541425	6
4	5.0	98610	450104	6
4	5.0	345360	1632154	6
3	8.0	74521	590729	6
4	3.0	305999	989691	6
4	4.0	250147	984867	10
4	8.0	7773	60424	10
2	12.0	4076	48950	10
3	6.0	247309	1363554	5
4	4.0	577223	2221679	5
5	5.0	56132	273431	5
5	5.0	108125	494268	5
4	6.0	127123	739096	5
4	5.0	30185	145581	5
4	6.0	1207187	7162960	5
4	5.0	29670	140916	5
4	3.0	184721	543322	5
4	10.0	5687	54498	5
4	5.0	32155	162089	5
4	6.0	18296	103249	5
4	4.0	136173	602509	5
4	5.0	1135757	6241281	5
4	4.0	36000	142120	5
